Genome,SRA ID,PATRIC ID,Antibiotic,Actual MIC,Predicted MIC
KPN752,SRR5386563,573.14371,Amikacin,>32,32.0
KPN752,SRR5386563,573.14371,Gentamicin,4,4.0
KPN752,SRR5386563,573.14371,Tobramycin,>8,16.0
KPN754,SRR5386561,573.14373,Cefazolin,>16,32.0
KPN754,SRR5386561,573.14373,Cefepime,>16,8.0
KPN755,SRR5386560,573.14374,Ciprofloxacin,>2,4.0
KPN755,SRR5386560,573.14374,Levofloxacin,>4,8.0
KPN756,SRR5386559,573.14375,Ceftriaxone,>32,64.0
KPN756,SRR5386559,573.14375,Cefuroxime sodium,>16,32.0
KPN756,SRR5386559,573.14375,Nitrofurantoin,>64,128.0
KPN759,SRR5386556,573.14377,Aztreonam,>16,32.0
KPN759,SRR5386556,573.14377,Ceftazidime,>16,32.0
KPN759,SRR5386556,573.14377,Imipenem,8,8.0
KPN759,SRR5386556,573.14377,Tobramycin,<=2,2.0
KPN760,SRR5386555,573.14378,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN762,SRR5386553,573.14379,Ampicillin,>16,32.0
KPN762,SRR5386553,573.14379,Cefoxitin,16,16.0
KPN763,SRR5386552,573.14380,Ampicillin/Sulbactam,>16/8,32.0
KPN765,SRR5386550,573.14381,Cefoxitin,8,16.0
KPN766,SRR5386549,573.14382,Piperacillin/Tazobactam,>64/4,128.0
KPN768,SRR5386548,573.14383,Cefazolin,>16,32.0
KPN768,SRR5386548,573.14383,Trimethoprim/Sulfamethoxazole,<=0.5/9,2.0
KPN770,SRR5386546,573.14385,Cefoxitin,>16,32.0
KPN770,SRR5386546,573.14385,Ceftriaxone,>32,64.0
KPN770,SRR5386546,573.14385,Cefuroxime sodium,>16,32.0
KPN770,SRR5386546,573.14385,Ciprofloxacin,>2,4.0
KPN770,SRR5386546,573.14385,Levofloxacin,>4,8.0
KPN771,SRR5386545,573.14387,Amikacin,<=8,4.0
KPN771,SRR5386545,573.14387,Cefepime,<=1,2.0
KPN771,SRR5386545,573.14387,Gentamicin,<=2,2.0
KPN771,SRR5386545,573.14387,Meropenem,<=1,0.5
KPN771,SRR5386545,573.14387,Piperacillin/Tazobactam,16/4,8.0
KPN772,SRR5386544,573.14386,Imipenem,<=1,1.0
KPN773,SRR5386543,573.14388,Aztreonam,>16,32.0
KPN773,SRR5386543,573.14388,Ceftazidime,>16,32.0
KPN773,SRR5386543,573.14388,Tetracycline,4,4.0
KPN775,SRR5386542,573.14389,Ampicillin,>16,32.0
KPN775,SRR5386542,573.14389,Gentamicin,>8,16.0
KPN777,SRR5386541,573.14390,Tobramycin,>8,16.0
KPN778,SRR5386540,573.14391,Ampicillin/Sulbactam,>16/8,32.0
KPN778,SRR5386540,573.14391,Cefepime,>16,8.0
KPN778,SRR5386540,573.14391,Tobramycin,8,8.0
KPN780,SRR5386539,573.14392,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN781,SRR5386538,573.14393,Meropenem,>8,16.0
KPN781,SRR5386538,573.14393,Tetracycline,>8,16.0
KPN782,SRR5386537,573.14394,Cefazolin,>16,32.0
KPN783,SRR5386536,573.14395,Cefepime,4,8.0
KPN783,SRR5386536,573.14395,Cefuroxime sodium,>16,32.0
KPN785,SRR5386535,573.14396,Ciprofloxacin,>2,4.0
KPN785,SRR5386535,573.14396,Levofloxacin,>4,4.0
KPN785,SRR5386535,573.14396,Piperacillin/Tazobactam,32/4,32.0
KPN786,SRR5386534,573.14397,Levofloxacin,<=1,1.0
KPN788,SRR5386532,573.14398,Aztreonam,>16,16.0
KPN788,SRR5386532,573.14398,Ceftriaxone,>32,32.0
KPN790,SRR5386530,573.14399,Amikacin,<=8,8.0
KPN790,SRR5386530,573.14399,Ampicillin,>16,32.0
KPN790,SRR5386530,573.14399,Ceftazidime,>16,32.0
KPN790,SRR5386530,573.14399,Piperacillin/Tazobactam,>64/4,128.0
KPN793,SRR5386528,573.14401,Ampicillin/Sulbactam,>16/8,32.0
KPN793,SRR5386528,573.14401,Imipenem,>8,8.0
KPN795,SRR5386526,573.14402,Meropenem,<=1,1.0
KPN796,SRR5386525,573.14403,Gentamicin,<=2,2.0
KPN796,SRR5386525,573.14403,Imipenem,<=1,1.0
KPN796,SRR5386525,573.14403,Nitrofurantoin,>64,128.0
KPN797,SRR5386524,573.14404,Cefazolin,>16,32.0
KPN799,SRR5386523,573.14406,Cefoxitin,>16,16.0
KPN799,SRR5386523,573.14406,Cefuroxime sodium,>16,32.0
KPN801,SRR5386521,573.14405,Ciprofloxacin,>2,4.0
KPN801,SRR5386521,573.14405,Piperacillin/Tazobactam,64/4,64.0
KPN801,SRR5386521,573.14405,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN802,SRR5386520,573.14408,Cefepime,>16,16.0
KPN802,SRR5386520,573.14408,Cefoxitin,<=4,8.0
KPN802,SRR5386520,573.14408,Ceftriaxone,>32,64.0
KPN802,SRR5386520,573.14408,Gentamicin,>8,16.0
KPN803,SRR5386519,573.14409,Ampicillin/Sulbactam,16/8,32.0
KPN803,SRR5386519,573.14409,Ampicillin,>16,32.0
KPN803,SRR5386519,573.14409,Ceftriaxone,32,32.0
KPN803,SRR5386519,573.14409,Levofloxacin,>4,8.0
KPN807,SRR5386516,573.14410,Ceftazidime,>16,16.0
KPN809,SRR5386515,573.14411,Aztreonam,16,8.0
KPN809,SRR5386515,573.14411,Tetracycline,<=2,4.0
KPN810,SRR5386514,573.14412,Ampicillin/Sulbactam,>16/8,32.0
KPN811,SRR5386513,573.14413,Amikacin,<=8,8.0
KPN811,SRR5386513,573.14413,Aztreonam,>16,32.0
KPN814,SRR5386511,573.14415,Cefazolin,>16,32.0
KPN814,SRR5386511,573.14415,Meropenem,<=1,1.0
KPN814,SRR5386511,573.14415,Tetracycline,>8,16.0
KPN814,SRR5386511,573.14415,Tobramycin,>8,16.0
KPN816,SRR5386509,573.14416,Cefuroxime sodium,>16,32.0
KPN816,SRR5386509,573.14416,Imipenem,<=1,1.0
KPN818,SRR5386507,573.14418,Amikacin,16,16.0
KPN818,SRR5386507,573.14418,Piperacillin/Tazobactam,>64/4,128.0
KPN821,SRR5386504,573.14420,Ampicillin,>16,32.0
KPN821,SRR5386504,573.14420,Ciprofloxacin,>2,1.0
KPN822,SRR5386503,573.14421,Ceftriaxone,>32,16.0
KPN823,SRR5386502,573.14422,Ceftazidime,>16,32.0
KPN823,SRR5386502,573.14422,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN824,SRR5386501,573.14423,Ampicillin/Sulbactam,>16/8,32.0
KPN824,SRR5386501,573.14423,Gentamicin,>8,16.0
KPN825,SRR5386500,573.14424,Levofloxacin,>4,8.0
KPN825,SRR5386500,573.14424,Tobramycin,8,8.0
KPN826,SRR5386499,573.14425,Cefazolin,>16,32.0
KPN826,SRR5386499,573.14425,Ceftriaxone,16,64.0
KPN826,SRR5386499,573.14425,Tetracycline,4,4.0
KPN828,SRR5386498,573.14426,Aztreonam,>16,32.0
KPN828,SRR5386498,573.14426,Cefoxitin,>16,16.0
KPN828,SRR5386498,573.14426,Cefuroxime sodium,>16,32.0
KPN828,SRR5386498,573.14426,Meropenem,>8,16.0
KPN830,SRR5386497,573.14427,Amikacin,<=8,8.0
KPN831,SRR5386496,573.14428,Cefepime,>16,8.0
KPN831,SRR5386496,573.14428,Ceftazidime,16,16.0
KPN831,SRR5386496,573.14428,Tobramycin,<=2,4.0
KPN832,SRR5386495,573.14429,Ceftazidime,8,16.0
KPN832,SRR5386495,573.14429,Gentamicin,<=2,4.0
KPN835,SRR5386492,573.14430,Ampicillin,>16,32.0
KPN835,SRR5386492,573.14430,Nitrofurantoin,>64,128.0
KPN836,SRR5386491,573.14431,Tetracycline,>8,8.0
KPN837,SRR5386490,573.14432,Ceftriaxone,>32,64.0
KPN837,SRR5386490,573.14432,Ciprofloxacin,>2,4.0
KPN839,SRR5386488,573.14434,Ampicillin/Sulbactam,>16/8,32.0
KPN839,SRR5386488,573.14434,Piperacillin/Tazobactam,>64/4,128.0
KPN840,SRR5386487,573.14435,Cefazolin,>16,32.0
KPN840,SRR5386487,573.14435,Levofloxacin,<=1,2.0
KPN840,SRR5386487,573.14435,Meropenem,<=1,4.0
KPN840,SRR5386487,573.14435,Trimethoprim/Sulfamethoxazole,>2/38,2.0
KPN841,SRR5386486,573.14436,Cefuroxime sodium,>16,32.0
KPN841,SRR5386486,573.14436,Imipenem,<=1,1.0
KPN841,SRR5386486,573.14436,Tetracycline,8,8.0
KPN843,SRR5386485,573.14437,Ceftazidime,>16,32.0
KPN844,SRR5386484,573.14438,Amikacin,<=8,8.0
KPN844,SRR5386484,573.14438,Cefepime,<=1,8.0
KPN844,SRR5386484,573.14438,Tobramycin,>8,8.0
KPN848,SRR5386481,573.14440,Aztreonam,>16,16.0
KPN848,SRR5386481,573.14440,Cefepime,2,8.0
KPN848,SRR5386481,573.14440,Cefoxitin,<=4,8.0
KPN848,SRR5386481,573.14440,Ciprofloxacin,1,2.0
KPN849,SRR5386480,573.14439,Amikacin,32,16.0
KPN849,SRR5386480,573.14439,Ampicillin,>16,32.0
KPN849,SRR5386480,573.14439,Cefoxitin,16,16.0
KPN849,SRR5386480,573.14439,Levofloxacin,>4,8.0
KPN854,SRR5386476,573.14444,Ceftriaxone,>32,64.0
KPN854,SRR5386476,573.14444,Ciprofloxacin,>2,4.0
KPN857,SRR5386475,573.14445,Ampicillin/Sulbactam,>16/8,32.0
KPN857,SRR5386475,573.14445,Cefazolin,>16,32.0
KPN858,SRR5386474,573.14446,Cefuroxime sodium,>16,32.0
KPN858,SRR5386474,573.14446,Imipenem,>8,16.0
KPN860,SRR5386472,573.14447,Gentamicin,>8,16.0
KPN860,SRR5386472,573.14447,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN863,SRR5386469,573.14448,Ceftazidime,>16,16.0
KPN864,SRR5386468,573.14449,Cefoxitin,>16,32.0
KPN864,SRR5386468,573.14449,Piperacillin/Tazobactam,>64/4,64.0
KPN865,SRR5386467,573.14450,Ampicillin,>16,32.0
KPN865,SRR5386467,573.14450,Meropenem,<=1,2.0
KPN865,SRR5386467,573.14450,Nitrofurantoin,>64,32.0
KPN866,SRR5386466,573.14451,Aztreonam,>16,32.0
KPN866,SRR5386466,573.14451,Imipenem,<=1,1.0
KPN867,SRR5386465,573.14452,Aztreonam,4,32.0
KPN867,SRR5386465,573.14452,Levofloxacin,>4,8.0
KPN867,SRR5386465,573.14452,Meropenem,>8,16.0
KPN868,SRR5386464,573.14453,Amikacin,<=8,4.0
KPN868,SRR5386464,573.14453,Aztreonam,<=2,16.0
KPN868,SRR5386464,573.14453,Piperacillin/Tazobactam,<=2/4,32.0
KPN870,SRR5386462,573.14455,Ciprofloxacin,>2,4.0
KPN871,SRR5386461,573.14454,Ampicillin/Sulbactam,>16/8,16.0
KPN871,SRR5386461,573.14454,Cefazolin,>16,16.0
KPN871,SRR5386461,573.14454,Nitrofurantoin,64,64.0
KPN871,SRR5386461,573.14454,Tetracycline,>8,8.0
KPN871,SRR5386461,573.14454,Tobramycin,<=2,2.0
KPN874,SRR5386459,573.14456,Ceftriaxone,>32,64.0
KPN874,SRR5386459,573.14456,Cefuroxime sodium,>16,32.0
KPN875,SRR5385933,573.14457,Cefepime,>16,8.0
KPN878,SRR5385930,573.14460,Ampicillin,>16,32.0
KPN878,SRR5385930,573.14460,Ceftazidime,>16,32.0
KPN878,SRR5385930,573.14460,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN879,SRR5385929,573.14461,Tobramycin,8,8.0
KPN880,SRR5385928,573.14462,Tetracycline,4,4.0
KPN881,SRR5385927,573.14463,Gentamicin,<=2,2.0
KPN881,SRR5385927,573.14463,Trimethoprim/Sulfamethoxazole,<=0.5/9,4.0
KPN882,SRR5385926,573.14464,Levofloxacin,>4,8.0
KPN883,SRR5385925,573.14465,Ampicillin/Sulbactam,>16/8,32.0
KPN883,SRR5385925,573.14465,Aztreonam,>16,32.0
KPN883,SRR5385925,573.14465,Cefazolin,>16,32.0
KPN883,SRR5385925,573.14465,Cefoxitin,>16,32.0
KPN883,SRR5385925,573.14465,Piperacillin/Tazobactam,>64/4,128.0
KPN886,SRR5385924,573.14466,Cefoxitin,8,16.0
KPN886,SRR5385924,573.14466,Cefuroxime sodium,>16,32.0
KPN886,SRR5385924,573.14466,Ciprofloxacin,>2,4.0
KPN886,SRR5385924,573.14466,Gentamicin,4,4.0
KPN886,SRR5385924,573.14466,Meropenem,<=1,1.0
KPN886,SRR5385924,573.14466,Tobramycin,>8,16.0
KPN887,SRR5385923,573.14467,Amikacin,<=8,8.0
KPN887,SRR5385923,573.14467,Imipenem,<=1,1.0
KPN887,SRR5385923,573.14467,Trimethoprim/Sulfamethoxazole,1/19,0.5
KPN888,SRR5385922,573.14468,Cefepime,16,16.0
KPN888,SRR5385922,573.14468,Ceftriaxone,>32,64.0
KPN888,SRR5385922,573.14468,Piperacillin/Tazobactam,32/4,32.0
KPN890,SRR5385920,573.14469,Nitrofurantoin,>64,256.0
KPN891,SRR5385919,573.14470,Ampicillin,>16,32.0
KPN891,SRR5385919,573.14470,Tetracycline,>8,16.0
KPN892,SRR5385918,573.14471,Ceftazidime,>16,32.0
KPN893,SRR5385917,573.14472,Gentamicin,>8,16.0
KPN893,SRR5385917,573.14472,Imipenem,>8,16.0
KPN893,SRR5385917,573.14472,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN895,SRR5385915,573.14474,Levofloxacin,>4,8.0
KPN896,SRR5385914,573.14475,Cefazolin,>16,32.0
KPN900,SRR5385910,573.14477,Aztreonam,>16,32.0
KPN900,SRR5385910,573.14477,Cefuroxime sodium,>16,32.0
KPN900,SRR5385910,573.14477,Ciprofloxacin,>2,4.0
KPN902,SRR5385909,573.14478,Ampicillin/Sulbactam,>16/8,32.0
KPN902,SRR5385909,573.14478,Cefepime,<=1,8.0
KPN903,SRR5385908,573.14479,Ceftazidime,1,8.0
KPN903,SRR5385908,573.14479,Ceftriaxone,>32,32.0
KPN904,SRR5385907,573.14480,Meropenem,>8,8.0
KPN906,SRR5385906,573.14481,Ampicillin,>16,32.0
KPN907,SRR5385905,573.14482,Amikacin,<=8,8.0
KPN907,SRR5385905,573.14482,Piperacillin/Tazobactam,8/4,32.0
KPN908,SRR5385904,573.14483,Cefepime,4,16.0
KPN908,SRR5385904,573.14483,Piperacillin/Tazobactam,>64/4,128.0
KPN909,SRR5385903,573.14485,Cefepime,>16,16.0
KPN909,SRR5385903,573.14485,Cefoxitin,>16,32.0
KPN909,SRR5385903,573.14485,Ceftazidime,>16,32.0
KPN911,SRR5385901,573.14484,Gentamicin,<=2,4.0
KPN911,SRR5385901,573.14484,Meropenem,<=1,1.0
KPN911,SRR5385901,573.14484,Tobramycin,<=2,4.0
KPN912,SRR5385900,573.14486,Cefazolin,>16,32.0
KPN912,SRR5385900,573.14486,Imipenem,<=1,1.0
KPN912,SRR5385900,573.14486,Levofloxacin,>4,8.0
KPN913,SRR5385899,573.14487,Cefoxitin,<=4,16.0
KPN913,SRR5385899,573.14487,Cefuroxime sodium,>16,32.0
KPN914,SRR5385898,573.14488,Ampicillin/Sulbactam,>16/8,32.0
KPN914,SRR5385898,573.14488,Ciprofloxacin,>2,4.0
KPN915,SRR5385897,573.14489,Aztreonam,>16,16.0
KPN915,SRR5385897,573.14489,Ceftriaxone,>32,64.0
KPN918,SRR5385895,573.14491,Ampicillin,>16,32.0
KPN918,SRR5385895,573.14491,Nitrofurantoin,>64,128.0
KPN918,SRR5385895,573.14491,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN922,SRR5385891,573.14494,Tetracycline,4,8.0
KPN923,SRR5385890,573.14495,Ceftazidime,>16,32.0
KPN924,SRR5385889,573.14496,Cefazolin,>16,32.0
KPN924,SRR5385889,573.14496,Meropenem,<=1,1.0
KPN925,SRR5385888,573.14497,Amikacin,<=8,8.0
KPN925,SRR5385888,573.14497,Levofloxacin,>4,8.0
KPN925,SRR5385888,573.14497,Piperacillin/Tazobactam,>64/4,128.0
KPN926,SRR5385887,573.14498,Amikacin,>32,32.0
KPN926,SRR5385887,573.14498,Ampicillin/Sulbactam,>16/8,32.0
KPN926,SRR5385887,573.14498,Cefuroxime sodium,>16,32.0
KPN926,SRR5385887,573.14498,Imipenem,8,8.0
KPN926,SRR5385887,573.14498,Tobramycin,>8,16.0
KPN927,SRR5385886,573.14499,Imipenem,<=1,1.0
KPN927,SRR5385886,573.14499,Tetracycline,8,8.0
KPN928,SRR5385885,573.14500,Ciprofloxacin,>2,4.0
KPN929,SRR5385884,573.14501,Ampicillin,>16,32.0
KPN929,SRR5385884,573.14501,Aztreonam,>16,32.0
KPN929,SRR5385884,573.14501,Ceftriaxone,>32,64.0
KPN929,SRR5385884,573.14501,Gentamicin,>8,16.0
KPN929,SRR5385884,573.14501,Tobramycin,8,8.0
KPN930,SRR5385883,573.14502,Tetracycline,>8,8.0
KPN931,SRR5385882,573.14503,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN934,SRR5385879,573.14505,Gentamicin,<=2,2.0
KPN935,SRR5385878,573.14506,Cefazolin,>16,32.0
KPN935,SRR5385878,573.14506,Imipenem,>8,2.0
KPN939,SRR5385874,573.14507,Cefoxitin,>16,32.0
KPN939,SRR5385874,573.14507,Ceftazidime,>16,32.0
KPN940,SRR5385873,573.14508,Ampicillin/Sulbactam,>16/8,32.0
KPN940,SRR5385873,573.14508,Cefuroxime sodium,>16,32.0
KPN941,SRR5385872,573.14509,Levofloxacin,>4,8.0
KPN941,SRR5385872,573.14509,Piperacillin/Tazobactam,>64/4,128.0
KPN942,SRR5385871,573.14510,Amikacin,<=8,8.0
KPN942,SRR5385871,573.14510,Ciprofloxacin,>2,4.0
KPN942,SRR5385871,573.14510,Levofloxacin,<=1,1.0
KPN943,SRR5385870,573.14511,Ampicillin,>16,32.0
KPN943,SRR5385870,573.14511,Ceftriaxone,>32,32.0
KPN943,SRR5385870,573.14511,Trimethoprim/Sulfamethoxazole,<=0.5/9,1.0
KPN944,SRR5385869,573.14512,Amikacin,32,32.0
KPN944,SRR5385869,573.14512,Meropenem,>8,8.0
KPN946,SRR5385867,573.14514,Aztreonam,>16,32.0
KPN946,SRR5385867,573.14514,Cefepime,>16,16.0
KPN948,SRR5385865,573.14516,Cefazolin,>16,32.0
KPN948,SRR5385865,573.14516,Nitrofurantoin,>64,128.0
KPN948,SRR5385865,573.14516,Tetracycline,4,4.0
KPN948,SRR5385865,573.14516,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN950,SRR5385864,573.14517,Tobramycin,<=2,4.0
KPN951,SRR5385863,573.14519,Ampicillin/Sulbactam,>16/8,32.0
KPN951,SRR5385863,573.14519,Cefoxitin,<=4,16.0
KPN951,SRR5385863,573.14519,Ceftazidime,>16,32.0
KPN951,SRR5385863,573.14519,Cefuroxime sodium,>16,32.0
KPN951,SRR5385863,573.14519,Meropenem,<=1,1.0
KPN951,SRR5385863,573.14519,Tetracycline,<=2,8.0
KPN952,SRR5385862,573.14518,Tobramycin,>8,16.0
KPN953,SRR5385861,573.14520,Ciprofloxacin,>2,4.0
KPN954,SRR5385860,573.14521,Ampicillin,>16,32.0
KPN954,SRR5385860,573.14521,Cefepime,<=1,8.0
KPN954,SRR5385860,573.14521,Ceftriaxone,>32,64.0
KPN954,SRR5385860,573.14521,Gentamicin,>8,16.0
KPN956,SRR5385858,573.14522,Amikacin,<=8,8.0
KPN956,SRR5385858,573.14522,Imipenem,<=1,1.0
KPN957,SRR5385857,573.14523,Levofloxacin,>4,8.0
KPN957,SRR5385857,573.14523,Tetracycline,>8,4.0
KPN958,SRR5385856,573.14524,Aztreonam,>16,32.0
KPN958,SRR5385856,573.14524,Piperacillin/Tazobactam,>64/4,64.0
KPN960,SRR5385854,573.14526,Cefazolin,>16,32.0
KPN960,SRR5385854,573.14526,Cefoxitin,>16,16.0
KPN963,SRR5385851,573.14528,Ampicillin/Sulbactam,>16/8,32.0
KPN963,SRR5385851,573.14528,Ceftazidime,>16,32.0
KPN963,SRR5385851,573.14528,Cefuroxime sodium,>16,32.0
KPN963,SRR5385851,573.14528,Tobramycin,8,8.0
KPN965,SRR5385849,573.14529,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN966,SRR5385848,573.14530,Ciprofloxacin,>2,4.0
KPN967,SRR5385847,573.14531,Ampicillin,>16,32.0
KPN967,SRR5385847,573.14531,Ceftriaxone,>32,64.0
KPN968,SRR5385846,573.14532,Cefoxitin,8,16.0
KPN968,SRR5385846,573.14532,Piperacillin/Tazobactam,16/4,64.0
KPN974,SRR5385842,573.14534,Aztreonam,>16,16.0
KPN974,SRR5385842,573.14534,Levofloxacin,>4,8.0
KPN974,SRR5385842,573.14534,Meropenem,<=1,1.0
KPN977,SRR5385839,573.14536,Cefazolin,>16,32.0
KPN977,SRR5385839,573.14536,Cefepime,8,8.0
KPN977,SRR5385839,573.14536,Gentamicin,>8,8.0
KPN977,SRR5385839,573.14536,Imipenem,<=1,1.0
KPN977,SRR5385839,573.14536,Piperacillin/Tazobactam,>64/4,64.0
KPN978,SRR5385838,573.14537,Cefepime,>16,16.0
KPN980,SRR5385837,573.14538,Amikacin,<=8,8.0
KPN980,SRR5385837,573.14538,Cefuroxime sodium,>16,32.0
KPN980,SRR5385837,573.14538,Nitrofurantoin,>64,64.0
KPN981,SRR5385836,573.14539,Ampicillin/Sulbactam,>16/8,32.0
KPN981,SRR5385836,573.14539,Ceftazidime,>16,32.0
KPN982,SRR5385835,573.14540,Ciprofloxacin,>2,4.0
KPN982,SRR5385835,573.14540,Gentamicin,<=2,4.0
KPN982,SRR5385835,573.14540,Imipenem,>8,8.0
KPN982,SRR5385835,573.14540,Tobramycin,>8,16.0
KPN983,SRR5385834,573.14541,Ampicillin,>16,32.0
KPN984,SRR5385833,573.14542,Ceftriaxone,>32,64.0
KPN984,SRR5385833,573.14542,Meropenem,>8,8.0
KPN984,SRR5385833,573.14542,Tetracycline,4,4.0
KPN984,SRR5385833,573.14542,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN988,SRR5385831,573.14544,Cefepime,16,16.0
KPN989,SRR5385830,573.14545,Aztreonam,>16,32.0
KPN989,SRR5385830,573.14545,Levofloxacin,>4,8.0
KPN990,SRR5385829,573.14546,Cefazolin,>16,32.0
KPN994,SRR5385826,573.14547,Cefoxitin,>16,32.0
KPN995,SRR5385825,573.14548,Cefuroxime sodium,>16,32.0
KPN999,SRR5385823,573.14550,Ampicillin/Sulbactam,>16/8,32.0
KPN999,SRR5385823,573.14550,Cefoxitin,<=4,8.0
KPN999,SRR5385823,573.14550,Ciprofloxacin,>2,4.0
KPN999,SRR5385823,573.14550,Meropenem,<=1,1.0
KPN999,SRR5385823,573.14550,Piperacillin/Tazobactam,>64/4,32.0
KPN1000,SRR5385822,573.13031,Ampicillin,>16,32.0
KPN1000,SRR5385822,573.13031,Ceftazidime,>16,32.0
KPN1001,SRR5385821,573.13032,Amikacin,<=8,8.0
KPN1001,SRR5385821,573.13032,Ceftriaxone,>32,64.0
KPN1001,SRR5385821,573.13032,Gentamicin,>8,16.0
KPN1001,SRR5385821,573.13032,Imipenem,<=1,1.0
KPN1001,SRR5385821,573.13032,Tetracycline,>8,8.0
KPN1004,SRR5385819,573.13034,Tobramycin,>8,16.0
KPN1005,SRR5385818,573.13035,Aztreonam,>16,32.0
KPN1005,SRR5385818,573.13035,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN1007,SRR5385816,573.13036,Cefazolin,>16,32.0
KPN1007,SRR5385816,573.13036,Ceftazidime,16,32.0
KPN1007,SRR5385816,573.13036,Levofloxacin,<=1,1.0
KPN1011,SRR5385814,573.13038,Cefepime,>16,16.0
KPN1011,SRR5385814,573.13038,Cefuroxime sodium,>16,32.0
KPN1012,SRR5385813,573.13039,Nitrofurantoin,>64,128.0
KPN1013,SRR5385812,573.13040,Ampicillin/Sulbactam,>16/8,32.0
KPN1014,SRR5385811,573.13041,Ampicillin,>16,32.0
KPN1014,SRR5385811,573.13041,Levofloxacin,>4,8.0
KPN1015,SRR5385810,573.13042,Ciprofloxacin,>2,4.0
KPN1015,SRR5385810,573.13042,Gentamicin,4,4.0
KPN1015,SRR5385810,573.13042,Tetracycline,4,4.0
KPN1017,SRR5385809,573.13043,Ceftriaxone,>32,64.0
KPN1018,SRR5385808,573.13044,Ceftazidime,>16,32.0
KPN1018,SRR5385808,573.13044,Tobramycin,>8,16.0
KPN1019,SRR5385807,573.13045,Amikacin,32,16.0
KPN1019,SRR5385807,573.13045,Meropenem,<=1,1.0
KPN1019,SRR5385807,573.13045,Piperacillin/Tazobactam,>64/4,32.0
KPN1019,SRR5385807,573.13045,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN1020,SRR5385806,573.13046,Cefazolin,>16,32.0
KPN1020,SRR5385806,573.13046,Ciprofloxacin,<=0.5,1.0
KPN1021,SRR5385805,573.13047,Aztreonam,8,16.0
KPN1022,SRR5385804,573.13048,Cefuroxime sodium,>16,32.0
KPN1022,SRR5385804,573.13048,Nitrofurantoin,64,128.0
KPN1023,SRR5385803,573.13049,Cefoxitin,>16,32.0
KPN1023,SRR5385803,573.13049,Tobramycin,<=2,4.0
KPN1025,SRR5385802,573.13050,Ampicillin/Sulbactam,>16/8,32.0
KPN1025,SRR5385802,573.13050,Imipenem,<=1,1.0
KPN1025,SRR5385802,573.13050,Piperacillin/Tazobactam,4/4,32.0
KPN1025,SRR5385802,573.13050,Trimethoprim/Sulfamethoxazole,<=0.5/9,1.0
KPN1026,SRR5385801,573.13051,Ampicillin,>16,32.0
KPN1026,SRR5385801,573.13051,Cefoxitin,16,16.0
KPN1027,SRR5385800,573.13052,Aztreonam,>16,32.0
KPN1027,SRR5385800,573.13052,Imipenem,>8,8.0
KPN1031,SRR5385798,573.13054,Amikacin,<=8,16.0
KPN1031,SRR5385798,573.13054,Ciprofloxacin,>2,4.0
KPN1032,SRR5385797,573.13055,Gentamicin,>8,16.0
KPN1032,SRR5385797,573.13055,Levofloxacin,>4,8.0
KPN1032,SRR5385797,573.13055,Tetracycline,>8,16.0
KPN1033,SRR5385796,573.13056,Cefazolin,>16,32.0
KPN1033,SRR5385796,573.13056,Ceftriaxone,>32,32.0
KPN1034,SRR5385795,573.13057,Cefuroxime sodium,<=4,16.0
KPN1034,SRR5385795,573.13057,Gentamicin,<=2,2.0
KPN1037,SRR5385792,573.13059,Cefepime,<=1,16.0
KPN1037,SRR5385792,573.13059,Ceftazidime,>16,32.0
KPN1037,SRR5385792,573.13059,Meropenem,<=1,1.0
KPN1037,SRR5385792,573.13059,Nitrofurantoin,>64,128.0
KPN1038,SRR5385791,573.13060,Cefuroxime sodium,>16,32.0
KPN1039,SRR5385790,573.13061,Ampicillin,>16,32.0
KPN1040,SRR5385789,573.13062,Ampicillin/Sulbactam,>16/8,32.0
KPN1040,SRR5385789,573.13062,Meropenem,>8,16.0
KPN1040,SRR5385789,573.13062,Piperacillin/Tazobactam,>64/4,128.0
KPN1040,SRR5385789,573.13062,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN1042,SRR5385787,573.13064,Amikacin,<=8,8.0
KPN1042,SRR5385787,573.13064,Imipenem,<=1,1.0
KPN1042,SRR5385787,573.13064,Piperacillin/Tazobactam,32/4,32.0
KPN1042,SRR5385787,573.13064,Tobramycin,8,8.0
KPN1043,SRR5385786,573.13065,Aztreonam,>16,32.0
KPN1043,SRR5385786,573.13065,Cefepime,>16,32.0
KPN1043,SRR5385786,573.13065,Cefoxitin,>16,32.0
KPN1044,SRR5385785,573.13066,Cefazolin,>16,32.0
